,labels
1532,1
1538,2
1540,2
1541,2
1542,1
1545,1
1547,1
1549,1
1552,1
1554,1
1556,1
1558,1
1564,1
1565,1
1569,3
1570,2
1575,3
1576,2
1577,1
1578,1
1579,1
1581,2
1583,3
1584,1
1585,1
1588,1
1589,1
1590,2
1591,2
1593,1
1595,1
1597,2
1599,2
1600,1
1601,1
1602,2
1605,1
1607,1
1610,1
1611,3
1612,2
1614,1
1615,1
1616,1
1618,1
1619,2
1620,1
1621,1
1623,2
1627,1
1628,2
1629,1
1630,1
1634,2
1635,1
1638,2
1639,1
1640,1
1643,1
1647,2
1649,2
1651,1
1652,2
1654,2
1655,1
1658,2
1659,2
1663,1
1664,2
1667,2
1668,2
1669,1
1670,1
1672,1
1673,1
1677,1
1678,2
1679,2
1681,1
1682,2
1683,1
1685,2
1689,2
1692,2
1698,2
1699,1
1700,2
1702,1
1703,1
1704,1
1706,1
1707,1
1708,1
1711,1
1712,2
1713,1
1717,2
1718,1
1723,1
1726,1
1729,1
1730,1
1732,1
1733,2
1736,1
1738,1
1739,2
1742,2
1743,1
1744,3
1747,2
1748,1
1749,2
1750,1
1751,1
1754,1
1756,2
1757,2
1760,1
1761,1
1764,2
1768,1
1770,1
1771,1
1777,1
1781,2
1782,2
1785,3
1786,2
1788,1
1790,1
1791,3
1792,1
1793,2
1795,2
1796,2
1797,2
1800,3
1801,1
1802,1
1808,2
1809,2
1811,1
1813,2
1814,2
1819,1
1821,2
1824,1
1826,1
1827,1
1830,1
1831,2
1835,2
1837,2
1838,1
1839,1
1842,2
1844,1
1850,2
1857,1
1858,2
1860,1
1862,1
1867,1
1868,1
1869,1
1872,1
1881,1
1882,1
1883,2
1884,1
1885,2
1888,2
1889,2
1891,1
1892,1
1894,1
1895,2
1896,2
1897,1
1899,2
1901,1
1903,1
1906,1
1909,2
1910,1
1912,2
1914,2
1917,1
1919,1
1920,2
1921,1
1925,2
1928,2
1929,1
1934,1
1937,1
1938,2
1942,1
1944,2
1946,1
1947,1
1948,1
1949,2
1950,1
1951,1
1954,1
1955,1
1957,1
1958,2
1960,3
1961,1
1962,1
1963,1
1964,1
1966,1
1968,1
1969,2
1970,1
1971,1
1974,1
1975,1
1976,2
1981,1
1983,3
1985,1
1987,1
1989,1
1992,1
1993,1
1994,1
1996,2
1997,2
1999,1
2001,2
2005,2
2006,2
2007,3
2010,2
2011,1
2012,2
2013,1
2015,2
2016,1
2017,1
2018,1
2021,1
2022,2
2023,1
2025,2
2026,1
2027,1
2028,2
2029,1
2030,1
2032,1
2035,1
2038,1
2042,1
2043,2
2044,1
2047,1
2048,2
2050,2
2056,1
2059,1
2061,1
2062,2
2065,2
2066,2
2068,1
2070,3
2072,2
2073,1
2074,2
2075,1
2076,1
2078,1
2080,1
2081,1
2083,1
2084,1
2085,1
2086,2
2089,2
2090,2
2093,1
2094,2
2095,2
2096,1
2097,1
2101,1
2105,1
2106,2
2109,1
2111,1
2112,1
2113,1
2116,2
2117,1
2118,1
2120,1
2121,1
2123,2
2125,1
2126,1
2128,2
2131,2
2133,2
2134,2
2135,2
2136,1
2138,1
2139,1
2142,1
2146,2
2147,1
2151,1
2152,1
2153,2
2155,2
2156,1
2158,1
2159,3
2161,1
2162,1
2164,2
2165,1
2166,2
2169,1
2171,1
2172,1
2173,1
2177,2
2180,1
2181,1
2183,2
2184,1
2186,2
2188,1
2189,2
2191,2
2192,1
2194,2
2195,1
2196,3
2199,2
2201,1
2203,2
2204,2
2207,1
2210,1
2211,1
2212,3
2213,2
2216,2
2217,1
2219,1
2221,2
2223,1
2226,1
2227,2
2228,1
2229,2
2230,1
2237,1
2239,2
2241,2
2243,3
2245,2
2246,1
2248,1
2249,1
2252,1
2253,1
2257,1
2258,1
2261,1
2262,2
2263,1
2265,2
2267,1
2269,1
2272,1
2278,1
2279,1
2280,1
2284,2
2285,1
2288,3
2294,3
2295,1
2296,2
2301,1
2302,1
2307,2
2309,2
2311,2
2313,1
2314,2
2318,1
2319,1
2322,1
2328,2
2329,1
2330,2
2331,1
2334,2
2336,2
2341,1
2342,2
2344,1
2345,1
2350,2
2354,2
2359,1
2360,1
2363,1
2366,1
2367,2
2369,1
2370,1
2372,1
2373,2
2374,2
2375,2
2379,1
2380,1
2382,2
2384,2
2385,1
2387,1
2389,1
2391,1
2396,1
2400,2
2402,3
2404,2
2406,1
2410,2
2412,1
2414,2
2415,2
2416,2
2418,1
2419,1
2421,1
2423,1
2424,1
2428,2
2430,2
2431,1
2435,1
2437,1
2439,2
2442,1
2443,1
2444,1
2446,1
2451,2
2452,1
2454,1
2455,1
2458,2
2460,3
2462,1
2464,2
2466,1
2469,1
2472,2
2475,1
2476,1
2478,3
2479,2
2482,2
2483,1
2485,1
2487,1
2488,1
2491,1
2493,2
2496,2
2498,2
2499,2
2501,1
2504,2
2506,1
2509,2
2519,2
2520,2
2521,1
2522,1
2525,1
2526,1
2528,3
2529,1
2530,1
2531,2
2533,1
2535,1
2536,2
2538,1
2539,1
2545,1
2547,1
2548,1
2552,2
2553,2
2554,2
2555,3
2557,1
2558,2
2559,1
2563,2
2564,2
2565,1
2567,1
2569,1
2571,1
2572,1
2573,2
2574,1
2575,1
2577,1
2579,1
2580,1
2581,1
2583,2
2586,1
2590,1
2591,1
2594,1
2595,1
2597,1
2598,1
2601,2
2603,1
2605,2
2606,3
2608,1
2611,2
2615,1
2616,3
2619,1
2622,2
2624,2
2625,1
2627,2
2632,1
2633,2
2636,2
2638,2
2640,1
2641,1
2645,1
2647,2
2654,2
2655,1
2656,2
2657,2
2658,1
2661,1
2665,2
2666,2
2668,1
2673,1
2674,1
2679,2
2680,2
2684,1
2690,2
2695,1
2696,1
2697,1
2701,2
2702,1
2703,1
2704,2
2708,2
2711,1
2712,1
2714,1
2716,2
2719,2
2722,1
2724,1
2725,2
2726,3
2728,1
2730,2
2731,2
2733,2
2737,2
2742,2
2749,2
2750,1
2752,1
2755,1
2758,1
2759,1
2761,3
2764,1
2766,1
2769,1
2771,1
2773,1
2774,2
2775,2
2776,2
2777,1
2778,1
2779,2
2781,1
2782,1
2784,3
2786,1
2789,1
2790,1
2791,1
2795,2
2796,3
2800,2
2802,2
2804,1
2810,1
2811,1
2814,1
2816,1
2820,2
2823,1
2825,1
2829,1
2832,2
2833,1
2835,2
2836,2
2840,2
2841,1
2843,2
2844,1
2846,1
2850,2
2851,2
2853,1
2854,1
2858,1
2860,2
2862,2
2869,1
2870,1
2872,1
2873,1
2877,1
2879,1
2880,2
2884,1
2885,2
2886,2
2887,1
2888,1
2889,1
2891,2
2894,1
2895,1
2896,1
2897,1
2899,1
2901,2
2903,1
2906,2
2907,1
2908,1
2911,1
2912,1
2916,2
2917,1
2918,3
2926,1
2930,1
2934,1
2936,1
2937,2
2938,1
2941,3
2943,2
2949,1
2950,1
2951,2
2952,2
2954,2
2955,2
2956,2
2957,1
2960,2
2965,1
2968,2
2969,1
2970,1
2971,1
2976,1
2980,1
2984,2
2986,1
2987,2
2992,1
2993,2
2999,3
3000,1
3005,2
3006,1
3007,2
3008,1
3009,1
3012,2
3013,2
3014,2
3015,1
3016,1
3019,1
3020,2
3021,3
3022,1
3024,1
3025,1
3028,1
3030,1
3032,2
3033,2
3034,1
3041,1
3043,2
3046,1
3048,1
3049,1
3050,2
3053,1
3055,1
3057,1
3062,1
3064,2
3066,2
3068,1
3070,1
3076,2
3078,1
3084,2
3085,1
3093,2
3094,1
3096,2
3098,1
3100,2
3101,1
3102,1
3106,1
3108,2
3109,2
3110,1
3115,1
3116,1
3119,1
3122,1
3123,1
3124,1
3125,1
3131,1
3132,1
3133,1
3134,3
3139,1
3140,1
3142,1
3146,2
3149,2
3154,2
3157,2
3163,1
3165,1
3168,2
3172,2
3173,2
3174,1
3175,1
3176,1
3177,1
3178,1
3181,2
3183,2
3184,1
3185,1
3187,1
3194,1
3198,1
3201,1
3202,1
3203,1
3205,1
3206,2
3207,2
3209,1
3210,1
3212,2
3214,2
3216,1
3217,1
3218,1
3221,1
3228,1
3230,3
3232,1
3233,1
3235,1
3236,3
3237,1
3242,1
3243,1
3246,1
3249,1
3250,1
3252,2
3253,1
3254,2
3255,1
3256,2
3257,2
3259,2
3260,2
3265,2
3267,1
3269,1
3272,1
3275,2
3279,1
3280,1
3281,2
3282,2
3286,1
3287,1
3289,1
3292,2
3300,2
3309,1
3311,2
3315,1
3316,2
3321,1
3323,1
3325,2
3328,2
3330,1
3333,2
3334,2
3342,2
3345,2
3347,1
3348,2
3349,2
3350,1
3351,1
3352,1
3354,1
3356,1
3359,1
3360,2
3362,1
3363,1
3366,1
3367,2
3369,1
3372,1
3373,2
3375,1
3383,3
3386,1
3389,1
3390,2
3391,2
3393,1
3394,2
3395,2
3396,2
3398,2
3408,1
3409,1
3410,1
3411,2
3412,1
3420,1
3423,1
3424,1
3427,1
3428,1
3429,2
3430,1
3433,1
3435,1
3436,3
3439,1
3440,2
3441,1
3442,2
3443,1
3445,1
3447,2
3449,1
3450,1
3452,2
3455,1
3457,1
3459,2
3462,1
3464,1
3466,3
3469,2
3473,1
3477,2
3478,1
3479,2
3480,1
3481,2
3482,1
3484,1
3485,2
3487,1
3497,1
3498,1
3501,2
3502,1
3503,2
3504,1
3506,1
3508,2
3510,2
3511,2
3515,2
3516,1
3518,1
3519,2
3520,2
3521,1
3522,1
3523,2
3526,1
3528,3
3530,2
3531,1
3533,1
3534,1
3539,2
3540,1
3541,1
3546,1
3548,1
3551,2
3553,2
3555,1
3556,1
3557,2
3558,2
3560,1
3561,2
3562,1
3565,1
3569,2
3571,2
3572,2
3574,1
3579,2
3580,1
3582,1
3585,1
3586,2
3587,2
3592,1
3594,1
3595,1
3597,1
3602,1
3606,1
3610,2
3612,2
3613,3
3615,2
3616,1
3617,1
3619,1
3621,2
3622,3
3623,1
3624,2
3625,1
3626,1
3627,2
3629,1
3630,1
3632,1
3635,2
3638,1
3639,1
3640,2
3642,2
3644,2
3645,1
3646,2
3648,2
3651,2
3653,1
3654,1
3655,1
3657,1
3662,1
3667,2
3671,1
3672,2
3673,1
3678,2
3679,1
3680,3
3681,2
3682,3
3683,1
3685,1
3692,2
3693,1
3696,1
3699,1
3701,1
3706,2
3709,1
3712,2
3713,2
3719,2
3720,2
3724,2
3726,3
3727,1
3729,2
3730,1
3731,1
3733,2
3741,1
3742,2
3744,1
3748,1
3749,1
3751,2
3753,2
3755,1
3757,1
3759,2
3763,1
3765,2
3770,3
3774,1
3775,1
3776,1
3777,1
3781,1
3783,2
3785,1
3787,2
3789,2
3791,1
3796,1
3797,2
3798,1
3800,1
3803,2
3805,2
3806,1
3810,2
3811,1
3813,2
3815,3
3816,1
3818,1
3822,1
3823,1
3828,2
3829,2
3831,1
3832,1
3833,1
3836,1
3839,1
3841,1
3850,2
3851,2
3860,1
3861,2
3865,2
3867,2
3871,1
3872,2
3873,2
3875,1
3876,1
3879,1
3882,2
3889,1
3890,2
3891,1
3895,1
3897,1
3898,1
3899,2
3904,1
3908,2
3909,1
3910,1
3912,2
3915,2
3916,2
3917,1
3918,1
3919,1
3924,2
3925,2
3926,2
3931,1
3934,2
3935,2
3936,1
3938,1
3940,1
3943,1
3951,1
3953,1
3954,1
3956,1
3959,1
3960,1
3965,1
3967,2
3968,1
3969,2
3973,2
3976,3
3979,1
3986,1
3987,1
3988,1
3989,1
3992,2
3993,1
3994,1
3995,2
3997,1
3998,1
4000,2
4001,1
4008,1
4010,1
4011,1
4012,1
4014,2
4018,2
4019,1
4020,1
4025,1
4026,2
4029,2
4030,1
4032,2
4034,3
4035,1
4037,1
4038,2
4039,2
4043,1
4044,1
4046,1
4052,1
4054,1
4056,2
4057,1
4063,1
4064,2
4067,1
4069,2
4070,2
4072,1
4075,1
4078,2
4083,1
4091,1
4092,2
4093,1
4096,1
4097,1
4098,2
4099,1
4100,2
4102,1
4108,2
4109,2
4111,1
4114,2
4116,1
4117,1
4120,2
4121,1
4123,1
4125,2
4126,1
4132,2
4133,1
4134,2
4135,1
4139,2
4140,3
4141,1
4142,1
4143,1
4145,1
4149,1
4151,1
4154,2
4155,2
4157,1
4159,2
4162,1
4164,2
4165,1
4169,2
4170,2
4171,2
4172,2
4174,1
4175,1
4179,2
4183,2
4184,1
4185,3
4186,2
4187,2
4189,1
4191,1
4192,1
4197,1
4198,1
4200,2
4201,2
4202,1
4205,2
4213,1
4214,2
4216,2
4217,1
4219,1
4220,1
4221,1
4223,2
4225,1
4226,1
4228,2
4230,2
4231,3
4233,1
4235,2
4238,3
4240,1
4242,2
4243,2
4245,1
4247,1
4248,1
4249,1
4251,1
4253,1
4254,1
4255,1
4257,1
4258,2
4259,1
4260,1
4263,2
4265,2
4268,1
4271,1
4273,2
4277,1
4278,1
4283,2
4285,1
4289,1
4291,1
4293,3
4297,1
4299,2
4301,1
4302,1
4305,2
4306,1
4308,1
4310,1
4312,2
4313,1
4316,1
4318,1
4320,1
4323,1
4324,2
4327,2
4331,1
4332,2
4338,2
4340,1
4342,1
4343,1
4344,3
4345,2
4348,1
4354,1
4356,2
4357,1
4360,1
4361,2
4363,2
4364,1
4365,1
4366,1
4368,1
4369,1
4372,2
4375,1
4376,1
4377,2
4379,1
4382,2
4384,2
4388,1
4391,1
4395,1
4398,2
4400,2
4401,1
4402,1
4404,1
4405,2
4407,1
4408,1
4410,1
4413,1
4414,3
4417,2
4421,1
4422,1
4423,3
4428,2
4430,1
4431,3
4433,2
4434,2
4435,2
4441,2
4443,1
4444,1
4445,1
4446,1
4448,2
4451,1
4452,2
4456,2
4461,1
4463,2
4464,1
4470,1
4472,2
4475,2
4484,1
4486,1
4488,1
4490,2
4496,1
4498,1
4499,2
4501,2
4503,1
4504,2
4506,1
4507,2
4509,2
4511,1
4515,2
4517,1
4518,2
4524,1
4526,2
4529,1
4530,2
4531,1
4534,1
4535,2
4537,1
4538,2
4540,2
4541,1
4546,1
4547,1
4548,2
4549,1
4551,1
4555,2
4558,2
4559,1
4561,3
4562,2
4565,1
4567,2
4568,1
4569,2
4571,1
4572,1
4573,1
4577,1
4582,1
4583,1
4584,1
4587,1
4591,1
4597,1
4602,1
4605,2
4607,1
4609,1
4610,1
4612,3
4615,1
4617,1
4619,1
4621,1
4625,2
4626,1
4629,1
4630,1
4632,1
4634,2
4637,2
4638,1
4640,1
4641,1
4643,1
4644,2
4646,1
4647,1
4648,1
4649,1
4651,2
4653,2
4654,1
4656,1
4658,2
4661,3
4663,1
4666,2
4667,3
4670,2
4671,2
4674,1
4675,1
4676,1
4681,1
4682,1
4683,2
4684,1
4685,1
4686,1
4688,1
4690,1
4692,2
4697,2
4698,2
4699,2
4700,1
4701,1
4703,1
4704,2
4706,1
4709,1
4712,3
4714,1
4715,1
4716,1
4718,1
4719,1
4722,1
4723,2
4724,1
4726,2
4729,2
4730,1
4732,2
4733,2
4742,2
4744,1
4746,2
4750,2
4752,1
4754,2
4757,3
4758,1
4759,2
4760,2
4763,2
4766,2
4767,1
4769,1
4771,1
4773,1
4776,2
4777,2
4778,2
4779,3
4785,2
4786,1
4787,2
4794,1
4795,2
4796,1
4797,2
4799,2
4800,2
4803,1
4805,1
4807,3
4812,1
4814,1
4816,2
4818,2
4823,1
4829,2
4834,1
4835,1
4836,2
4839,1
4846,1
4847,1
4849,2
4852,1
4853,2
4854,2
4856,2
4859,1
4863,1
4865,1
4868,2
4870,2
4872,2
4873,1
4875,2
4876,1
4879,1
4883,1
4891,1
4895,1
4896,2
4897,1
4898,1
4900,2
4902,1
4904,2
4905,1
4906,1
4911,1
4912,1
4914,1
4917,2
4918,1
4919,1
4921,1
4923,1
4926,2
4930,1
4931,1
4934,1
4935,1
4937,3
4938,2
4939,2
4940,1
4941,2
4944,1
4945,1
4948,2
4949,1
4951,1
4954,2
4956,2
4961,1
4963,1
4966,3
4967,2
4968,1
4969,1
4971,1
4973,1
4975,3
4976,2
4977,1
4978,1
4979,1
4980,1
4982,2
4983,2
4988,2
4989,1
4992,1
4993,2
4994,1
4997,1
4999,2
5001,3
5002,1
5004,2
5006,2
5007,1
5008,1
5010,1
5011,2
5014,1
5015,1
5016,2
5019,1
5020,1
5021,1
5024,1
5026,2
5030,1
5031,2
5033,1
5035,2
5036,2
5037,1
5039,1
5041,2
5045,1
5046,1
5051,2
5053,2
5054,3
5061,1
5064,2
5065,1
5066,1
5070,1
5071,1
5072,1
5077,1
5078,2
5080,2
5081,1
5084,1
5085,2
5087,1
5088,1
5089,3
5090,2
5091,1
5092,1
5093,1
5094,1
5096,1
5097,2
5100,1
5101,2
5102,1
5103,1
5104,1
5106,2
5107,2
5108,1
5109,1
5110,1
5114,3
5115,2
5117,2
5119,1
5123,2
5124,2
5125,1
5126,3
5127,1
5129,2
5130,1
5133,2
5135,1
5136,1
5138,1
5141,1
5144,1
5146,2
5148,1
5150,1
5151,1
5153,1
5154,2
5155,1
5157,3
5158,1
5159,1
5160,1
5161,1
5164,2
5166,1
5167,2
5169,2
5173,2
5175,2
5176,2
5177,3
5179,3
5181,1
5186,1
5189,1
5190,3
5191,1
5194,2
5195,1
5196,1
5197,3
5198,1
5201,2
5206,3
5212,1
5213,1
5216,1
5218,2
5219,2
5221,2
5225,1
5227,2
5228,1
5229,2
5231,2
5232,1
5234,1
5235,2
5237,1
5241,1
5243,2
5246,2
5250,1
5251,1
5252,2
5253,1
5254,2
5256,1
5257,3
5261,2
5262,2
5264,1
5266,1
5267,1
5268,1
5270,2
5271,1
5273,1
5279,1
5280,1
5283,1
5285,3
5287,1
5289,3
5290,2
5291,1
5292,1
5293,1
5294,1
5297,2
5299,2
5302,1
5303,2
5304,1
5306,3
5307,1
5308,1
5309,1
5311,2
5312,2
5315,2
5318,1
5319,2
5320,1
5322,1
5323,2
5325,2
5327,2
5328,1
5334,1
5336,1
5338,2
5340,2
5344,1
5345,1
5346,1
5348,2
5350,2
5351,1
5357,1
5360,1
5363,2
5368,2
5369,2
5370,1
5373,2
5376,1
5378,1
5382,1
5386,1
5387,1
5388,2
5392,1
5393,2
5394,2
5396,2
5397,1
5401,1
5403,1
5406,2
5409,1
5410,1
5411,1
5414,2
5416,2
5417,1
5418,1
5419,2
5420,1
5422,2
5423,2
5424,1
5429,2
5430,1
5431,1
5432,1
5435,1
5436,1
5441,2
5442,1
5443,1
5444,1
5446,1
5447,1
5448,1
5449,1
5451,1
5453,1
5458,1
5461,2
5462,1
5463,1
5464,1
5465,2
5466,2
5469,1
5470,1
5474,1
5475,1
5477,1
5479,1
5483,2
5484,2
5486,2
5487,1
5491,1
5492,1
5493,2
5494,1
5496,2
5497,2
5499,1
5500,1
5503,2
5504,1
5507,1
5508,1
5510,1
5514,1
5515,2
5516,1
5518,2
5519,1
5521,2
5523,1
5524,1
5525,2
5529,1
5532,2
5533,2
5534,1
5535,3
5536,1
5538,2
5539,2
5541,2
5542,2
5544,1
5546,1
5550,2
5551,2
5552,2
5554,1
5555,1
5556,1
5560,2
5562,1
5566,2
5568,2
5570,1
5573,2
5577,2
5580,1
5581,2
5582,1
5583,1
5584,1
5588,1
5589,1
5590,2
5591,1
5592,2
5595,1
5596,1
5597,2
5599,1
5601,2
5603,2
5604,1
5605,2
5612,2
5613,2
5617,1
5618,2
5620,1
5621,1
5622,1
5623,1
5626,2
5628,1
5630,1
5633,1
5635,1
5636,1
5639,1
5640,2
5641,1
5642,1
5649,1
5650,2
5653,1
5655,2
5657,2
5659,1
5660,1
5661,3
5662,1
5663,2
5664,1
5667,2
5668,1
5670,1
5671,1
5673,1
5675,1
5678,2
5679,2
5680,1
5682,1
5683,1
5684,1
5686,1
5687,1
5688,2
5690,1
5691,2
5692,1
5694,2
5697,1
5699,1
5700,1
5702,1
5703,1
5705,2
5706,2
5707,2
5709,1
5710,1
5712,2
5713,1
5716,2
5717,2
5718,1
5719,2
5720,1
5723,1
5726,2
5728,2
5729,1
5731,1
5734,1
5737,1
5738,2
5741,1
5745,2
5746,1
5747,1
5750,1
5751,1
5753,2
5757,2
5758,1
5762,1
5763,2
5765,1
5766,1
5767,1
5769,1
5777,1
5780,1
5781,2
5783,3
5784,1
5785,1
5787,1
5790,1
5793,1
5796,1
5799,1
5800,2
5801,2
5802,1
5804,1
5805,2
5806,2
5808,1
5809,2
5810,2
5811,2
5813,1
5816,1
5817,1
5822,2
5823,2
5827,1
5830,3
5833,2
5834,1
5835,1
5836,2
5842,2
5843,1
5844,2
5845,1
5846,1
5847,1
5848,1
5853,1
5854,2
5859,2
5861,1
5864,1
5865,1
5866,2
5869,1
5872,1
5874,1
5877,1
5878,3
5881,1
5885,1
5886,2
5891,1
5892,3
5893,3
5894,1
5895,1
5896,2
5898,2
5901,2
5903,1
5906,3
5908,1
5909,2
5910,1
5913,1
5914,2
5917,2
5918,1
5919,2
5922,1
5928,1
5930,1
5931,1
5936,2
5938,1
5939,2
5940,2
5941,1
5947,1
5950,1
5952,2
5953,1
5955,2
5958,1
5959,2
5962,2
5964,1
5965,1
5966,2
5968,2
5970,1
5971,1
5974,1
5975,2
5976,1
5977,2
5978,2
5983,1
5987,1
5988,2
5990,1
5996,2
5998,1
6002,2
6003,1
6004,1
6006,2
6007,1
6012,1
6014,1
6020,1
6021,1
6022,1
6025,2
6029,1
6030,2
6031,2
6032,1
6037,1
6038,1
6040,1
6041,2
6044,1
6045,2
6049,1
6051,1
6053,1
6054,1
6056,3
6057,3
6059,2
6060,1
6061,1
6062,1
6063,1
6064,2
6068,1
6072,1
6073,1
6074,1
6075,2
6078,2
6084,1
6086,2
6088,2
6090,2
6092,1
6095,1
6096,1
6098,1
6102,2
6103,3
6105,1
6106,1
6107,2
6109,2
6110,2
6112,1
6114,1
6115,1
6116,2
6118,2
6120,1
6124,1
6128,1
6129,1
6130,1
6133,2
6134,2
6135,1
6136,2
6138,1
6139,2
6140,2
6141,2
6145,1
6148,1
6150,1
6151,1
6152,1
6158,1
6160,2
6165,1
6169,1
6171,1
6172,3
6173,1
6179,1
6181,2
6184,1
6185,1
6186,2
