,Apparel_Set,Bottomwear,Dress,Innerwear,Loungewear_and_Nightwear,Saree,Socks,Topwear,Casual,Ethnic,Formal,Party,Smart_Casual,Sports,Travel
380,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
381,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
382,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
383,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
386,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
390,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
393,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
395,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
396,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
398,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
402,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
403,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
404,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
407,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
409,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
410,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
411,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
414,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
415,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
417,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
418,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
420,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
421,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
422,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
423,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
424,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
426,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
427,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
428,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
429,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
431,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
433,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
434,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
438,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
444,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
445,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
447,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
451,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
452,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
456,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
458,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
459,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
460,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
461,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
462,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
464,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
465,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
466,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
467,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
470,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
471,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
474,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
476,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
478,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
480,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
481,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
482,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
488,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
491,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
492,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
498,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
500,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
501,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
503,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
504,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
506,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
507,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
510,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
513,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
514,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
515,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
517,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
519,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
520,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
522,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
528,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
531,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
533,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
534,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
535,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
536,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
539,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
542,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
544,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
547,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
548,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
551,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
552,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
553,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
554,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
555,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
565,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
567,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
569,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
570,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
576,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
577,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
579,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
580,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
581,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
582,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
584,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
585,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
588,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
592,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
593,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
597,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
599,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
602,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
604,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
605,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
606,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
608,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
610,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
612,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
613,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
614,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
615,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
617,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
618,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
620,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
621,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
622,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
623,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
625,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
626,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
630,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
631,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
633,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
634,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
638,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
639,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
644,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
646,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
649,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
654,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
656,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
657,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
659,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
660,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
661,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
663,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
664,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
666,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
669,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
670,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
672,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
674,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
676,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
678,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
684,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
685,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
687,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
688,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
693,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
694,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
696,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
697,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
698,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
707,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
710,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
712,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
713,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
715,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
716,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
720,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
721,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
723,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
725,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
727,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
729,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
731,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
732,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
733,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
735,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
736,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
740,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
741,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
742,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
745,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
748,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
752,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
754,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
755,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
759,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
762,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
763,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
764,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
765,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
770,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
771,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
774,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
777,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
778,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
779,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
781,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
782,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
784,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
787,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
791,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
792,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
798,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
799,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
800,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
801,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
804,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
806,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
807,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
811,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
818,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
819,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
822,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
832,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
833,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
835,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
837,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
843,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
844,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
847,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
848,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
851,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
852,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
854,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
857,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
860,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
861,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
863,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
866,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
867,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
870,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
871,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
878,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
882,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
885,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
886,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
888,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
891,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
892,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
894,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
896,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
901,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
906,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
907,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
908,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
909,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
910,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
913,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
915,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
916,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
917,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
919,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
921,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
923,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
924,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
925,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
928,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
938,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
942,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
943,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
946,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
956,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
959,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
